difficulty,id,paidOnly,questionFrontendId,status,title,titleSlug,topicTags,acRate
EASY,1,False,1,TO_DO,Two Sum,two-sum,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}]",0.562090655197338
MEDIUM,2,False,2,TO_DO,Add Two Numbers,add-two-numbers,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.4680952233756054
MEDIUM,3,False,3,TO_DO,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Sliding Window', 'slug': 'sliding-window', '__typename': 'CommonTagNode'}]",0.3744609064266349
HARD,4,False,4,TO_DO,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer', '__typename': 'CommonTagNode'}]",0.445453872052555
MEDIUM,5,False,5,TO_DO,Longest Palindromic Substring,longest-palindromic-substring,"[{'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",0.3630778079668318
MEDIUM,6,False,6,TO_DO,Zigzag Conversion,zigzag-conversion,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.5220585970890392
MEDIUM,7,False,7,TO_DO,Reverse Integer,reverse-integer,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}]",0.30677307281343197
MEDIUM,8,False,8,TO_DO,String to Integer (atoi),string-to-integer-atoi,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.1967609199398545
EASY,9,False,9,TO_DO,Palindrome Number,palindrome-number,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}]",0.5956059051308802
HARD,10,False,10,TO_DO,Regular Expression Matching,regular-expression-matching,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.2956423015839116
MEDIUM,11,False,11,TO_DO,Container With Most Water,container-with-most-water,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Greedy', 'slug': 'greedy', '__typename': 'CommonTagNode'}]",0.5821363517517002
MEDIUM,12,False,12,TO_DO,Integer to Roman,integer-to-roman,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.6924278274662512
EASY,13,False,13,TO_DO,Roman to Integer,roman-to-integer,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.6535771233564822
EASY,14,False,14,TO_DO,Longest Common Prefix,longest-common-prefix,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Trie', 'slug': 'trie', '__typename': 'CommonTagNode'}]",0.46035284721670616
MEDIUM,15,False,15,TO_DO,3Sum,3sum,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.3757702224480221
MEDIUM,16,False,16,TO_DO,3Sum Closest,3sum-closest,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.47185991704543345
MEDIUM,17,False,17,TO_DO,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.6438844656601574
MEDIUM,18,False,18,TO_DO,4Sum,4sum,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Sorting', 'slug': 'sorting', '__typename': 'CommonTagNode'}]",0.3877985880853521
MEDIUM,19,False,19,TO_DO,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.4968425200569925
EASY,20,False,20,TO_DO,Valid Parentheses,valid-parentheses,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}]",0.42756968706540704
EASY,21,False,21,TO_DO,Merge Two Sorted Lists,merge-two-sorted-lists,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.6721758010235722
MEDIUM,22,False,22,TO_DO,Generate Parentheses,generate-parentheses,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.7756837544027334
HARD,23,False,23,TO_DO,Merge k Sorted Lists,merge-k-sorted-lists,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer', '__typename': 'CommonTagNode'}, {'name': 'Heap (Priority Queue)', 'slug': 'heap-priority-queue', '__typename': 'CommonTagNode'}, {'name': 'Merge Sort', 'slug': 'merge-sort', '__typename': 'CommonTagNode'}]",0.5750126485109649
MEDIUM,24,False,24,TO_DO,Swap Nodes in Pairs,swap-nodes-in-pairs,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.6777963828158177
HARD,25,False,25,TO_DO,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.6387218043291067
EASY,26,False,26,TO_DO,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.6101658489848129
EASY,27,False,27,TO_DO,Remove Element,remove-element,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.6046900701712435
EASY,28,False,28,TO_DO,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,"[{'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'String Matching', 'slug': 'string-matching', '__typename': 'CommonTagNode'}]",0.45394624585721494
MEDIUM,29,False,29,TO_DO,Divide Two Integers,divide-two-integers,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation', '__typename': 'CommonTagNode'}]",0.18660181943092838
HARD,30,False,30,TO_DO,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Sliding Window', 'slug': 'sliding-window', '__typename': 'CommonTagNode'}]",0.3324224159305162
MEDIUM,31,False,31,TO_DO,Next Permutation,next-permutation,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}]",0.43689593140734834
HARD,32,False,32,TO_DO,Longest Valid Parentheses,longest-valid-parentheses,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}]",0.3682653202214261
MEDIUM,33,False,33,TO_DO,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}]",0.43289488880647986
MEDIUM,34,False,34,TO_DO,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}]",0.4735042556963097
EASY,35,False,35,TO_DO,Search Insert Position,search-insert-position,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}]",0.49569788003455967
MEDIUM,36,False,36,TO_DO,Valid Sudoku,valid-sudoku,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.633370051039534
HARD,37,False,37,TO_DO,Sudoku Solver,sudoku-solver,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}, {'name': 'Matrix', 'slug': 'matrix', '__typename': 'CommonTagNode'}]",0.6416011826635654
MEDIUM,38,False,38,TO_DO,Count and Say,count-and-say,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",0.6113596704837165
MEDIUM,39,False,39,TO_DO,Combination Sum,combination-sum,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.752092346671278
MEDIUM,40,False,40,TO_DO,Combination Sum II,combination-sum-ii,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Backtracking', 'slug': 'backtracking', '__typename': 'CommonTagNode'}]",0.5807833582870778
HARD,41,False,41,TO_DO,First Missing Positive,first-missing-positive,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}]",0.41475584758676176
HARD,42,False,42,TO_DO,Trapping Rain Water,trapping-rain-water,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Stack', 'slug': 'stack', '__typename': 'CommonTagNode'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack', '__typename': 'CommonTagNode'}]",0.6572030059562788
MEDIUM,43,False,43,TO_DO,Multiply Strings,multiply-strings,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Simulation', 'slug': 'simulation', '__typename': 'CommonTagNode'}]",0.4260304697047974
HARD,44,False,44,TO_DO,Wildcard Matching,wildcard-matching,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Greedy', 'slug': 'greedy', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",0.3041901432542568
